Instagram,Facebook,YouTube,Twitter,Telegram,WhatsApp,TikTok,Radio,TV,Newspaper,Website,Sales
83,41,74,60,28,11,32,47,28,40,12,19
41,26,8,21,19,15,57,41,22,43,12,26
75,76,7,41,19,11,13,14,9,23,29,13
26,76,77,15,10,11,60,46,43,30,35,24
71,47,15,5,26,23,24,19,33,36,4,14
25,54,39,57,23,17,49,45,47,12,30,20
24,70,44,38,37,6,18,44,2,28,13,38
91,83,15,43,29,5,62,15,19,24,29,32
43,51,56,64,79,29,71,2,48,41,1,27
22,54,3,51,66,10,28,38,15,48,43,48
55,47,18,41,14,15,51,8,11,14,23,10
24,30,14,26,62,1,72,9,46,22,14,36
29,64,38,55,32,24,77,25,26,26,16,42
66,57,26,61,51,16,34,26,7,18,21,20
82,60,29,47,49,11,61,9,13,24,43,15
70,43,31,5,32,9,12,6,41,18,17,34
43,31,1,41,53,39,40,11,44,46,2,28
65,32,31,15,64,1,78,8,33,6,25,23
65,20,72,38,45,14,21,8,28,47,46,39
94,22,63,29,54,16,78,40,4,26,45,30
54,49,28,61,77,12,44,38,36,32,5,38
61,49,39,57,34,31,12,25,46,11,33,21
88,52,4,4,57,34,76,26,27,19,29,21
24,38,69,67,41,15,65,39,17,1,30,34
79,78,7,46,34,4,35,48,8,28,43,25
73,91,16,22,26,20,26,39,11,35,48,16
56,34,52,25,42,33,21,19,22,33,1,15
82,29,69,69,75,17,61,39,43,18,33,45
33,84,62,64,55,15,49,29,25,6,5,23
83,79,44,4,45,1,61,19,42,30,24,14
62,57,55,6,27,20,63,39,24,9,49,23
91,39,69,21,71,22,34,32,39,15,30,27
56,84,75,45,33,35,13,6,1,15,24,42
72,76,23,36,60,2,59,13,44,5,5,25
86,38,52,72,54,29,11,17,36,13,39,35
41,67,5,67,76,20,32,10,37,12,38,31
85,73,79,68,53,24,19,19,17,49,49,30
65,77,68,57,57,19,32,39,26,2,8,37
65,28,7,3,73,1,30,33,22,48,7,42
29,22,63,7,47,7,60,9,34,21,7,17
62,89,11,73,78,13,23,33,46,39,44,26
43,63,23,27,24,14,78,36,11,47,41,21
64,64,42,41,18,19,12,26,34,35,29,48
47,36,11,34,48,20,26,32,15,9,13,10
27,21,41,30,28,17,64,32,14,3,49,32
56,77,18,57,40,15,23,21,15,18,18,32
84,67,23,12,44,24,35,8,30,38,33,10
51,48,2,40,57,16,22,31,36,35,13,40
58,37,11,14,44,4,30,4,6,41,14,21
43,31,78,48,71,29,32,4,24,43,29,38
30,71,20,79,76,27,56,21,37,7,15,14
26,30,47,41,10,17,35,32,22,20,29,44
92,53,9,63,12,9,49,25,32,7,32,36
31,62,69,1,60,30,74,23,41,15,10,42
45,66,64,40,25,11,15,35,33,3,1,23
52,42,8,6,26,39,38,15,41,4,10,17
27,30,56,33,56,30,50,31,12,45,2,48
59,69,71,19,24,13,38,7,24,41,28,47
66,46,32,32,14,14,18,47,34,13,6,39
56,29,65,76,59,9,30,12,21,7,29,10
77,70,37,57,17,29,78,44,11,8,44,11
65,84,55,70,18,23,11,6,14,9,19,39
74,91,30,46,37,2,30,43,22,24,7,35
76,78,37,5,50,12,35,49,23,12,4,29
46,44,4,17,25,4,14,13,7,48,36,41
53,57,22,27,20,28,55,26,41,29,36,11
80,26,65,72,33,19,56,38,9,48,5,30
89,69,37,61,27,22,55,41,20,47,7,42
95,42,10,41,14,25,38,41,19,5,5,49
84,89,31,56,71,29,70,44,48,41,29,12
26,51,62,57,70,36,53,15,21,11,41,21
74,42,49,46,10,3,27,37,25,23,24,32
62,49,49,62,61,36,23,16,15,6,16,33
32,67,19,60,64,1,78,44,16,22,3,39
36,90,31,52,40,30,22,9,37,25,20,49
59,25,28,69,73,19,11,43,13,26,37,13
64,43,52,35,33,16,69,21,4,5,13,21
76,71,69,11,30,15,63,38,14,15,7,34
86,63,73,59,21,14,29,25,40,11,40,18
53,85,63,71,51,37,37,3,4,7,7,37
51,60,19,73,17,38,36,3,14,17,9,25
32,31,41,15,16,23,22,30,4,13,3,26
83,91,33,1,15,17,55,5,39,31,42,36
41,22,61,3,65,30,36,41,15,14,34,18
60,56,12,35,25,27,13,30,15,45,1,11
74,40,73,18,75,30,69,21,47,36,33,44
67,57,50,54,41,31,68,1,25,6,22,33
28,73,30,71,12,7,76,5,21,19,11,11
45,44,31,7,33,28,75,46,43,31,18,13
30,78,37,57,46,27,35,13,15,42,24,35
49,57,1,44,60,39,26,42,48,19,38,35
22,91,54,1,13,11,21,43,41,1,31,31
26,47,3,16,30,16,43,12,9,7,28,36
79,91,71,27,64,11,73,2,48,45,25,41
85,91,40,29,55,1,17,22,1,15,26,31
92,55,51,39,58,19,79,36,33,42,9,43
44,79,29,6,59,25,69,28,45,37,48,19
80,70,46,75,45,29,27,27,29,30,1,49
48,70,75,39,12,5,72,20,46,16,32,46
66,92,3,10,71,25,73,24,30,6,34,13
68,41,3,51,61,29,64,24,28,34,2,44
47,33,43,8,24,1,34,40,14,45,40,33
59,42,46,32,17,32,15,31,2,12,34,42
26,85,34,66,45,14,11,15,34,16,14,39
91,48,20,6,45,30,66,8,24,45,1,37
59,87,38,13,78,19,63,24,19,1,19,11
96,67,19,57,40,6,32,12,41,3,31,33
61,56,57,13,26,29,23,29,12,24,28,44
27,39,13,46,42,9,43,31,8,49,46,39
24,49,20,74,65,26,61,35,27,41,48,21
88,40,78,22,21,4,38,41,40,21,29,21
90,52,22,42,28,6,17,20,5,10,31,44
38,66,79,55,19,39,68,49,9,43,23,16
85,84,69,34,38,31,37,3,47,5,41,14
95,42,76,79,62,38,60,29,44,16,10,21
60,26,64,24,67,29,67,7,5,10,29,35
44,51,59,34,30,33,34,48,36,22,2,16
88,44,59,46,13,1,59,28,37,18,13,48
86,82,50,32,67,21,65,41,26,12,41,33
94,83,57,2,54,27,67,4,5,29,40,48
76,93,12,33,32,11,21,49,46,40,36,25
45,93,8,71,66,1,67,10,48,16,39,16
93,76,9,7,68,38,38,3,30,41,6,17
66,30,38,56,66,1,47,16,49,14,18,18
46,91,60,17,65,24,51,6,35,2,36,19
82,36,27,30,75,22,62,9,47,32,31,21
53,74,13,75,61,21,46,9,19,21,23,44
52,74,59,58,75,3,63,21,21,27,20,31
54,61,78,69,42,19,19,27,8,48,36,22
77,68,12,41,24,37,16,46,41,21,17,29
26,82,71,22,30,16,25,14,42,48,40,26
66,73,68,35,75,27,48,24,41,23,47,16
45,50,37,74,67,10,71,44,37,40,33,33
26,23,22,54,42,37,43,40,47,31,27,31
71,80,69,71,51,25,50,47,49,36,24,22
88,58,54,27,52,8,69,13,4,1,30,34
39,50,43,5,12,37,43,3,42,17,40,36
24,30,55,60,36,9,30,30,36,5,44,41
84,20,51,47,74,24,32,31,9,25,49,25
65,20,20,31,38,2,44,1,28,38,26,28
35,45,59,53,73,34,70,35,7,44,39,40
64,68,1,24,79,33,63,34,19,45,14,40
23,41,52,47,27,7,65,20,27,16,27,32
30,60,69,67,78,30,20,27,7,15,12,41
35,84,79,15,57,30,25,2,13,19,33,24
42,36,30,38,29,25,79,38,23,24,11,25
95,85,40,7,47,17,15,24,26,18,29,10
76,49,58,68,66,12,17,27,33,25,10,12
77,33,42,23,19,30,62,3,46,28,33,30
38,40,1,39,34,2,72,8,30,11,29,16
75,66,21,15,11,20,51,13,27,14,20,44
40,78,75,66,54,29,58,18,40,36,27,45
92,32,2,65,46,39,38,2,6,33,43,29
63,94,34,34,17,37,24,42,15,19,47,17
54,27,1,32,74,20,38,25,35,7,39,39
32,33,19,31,53,29,42,8,18,20,22,10
53,23,72,41,35,9,37,26,19,12,10,27
42,41,40,38,64,11,75,37,40,15,3,21
32,47,79,4,70,27,33,46,8,39,43,14
52,29,48,29,60,6,48,36,48,44,5,22
42,66,45,68,52,30,47,1,46,42,41,30
65,36,58,67,19,3,34,48,41,15,20,37
59,78,64,52,43,21,40,3,20,39,15,46
58,28,4,70,35,2,41,1,41,17,36,18
72,20,42,53,75,20,43,10,24,21,31,23
65,39,1,31,33,38,36,21,33,22,24,30
81,67,32,29,36,17,16,37,43,40,49,41
42,23,3,53,24,16,35,12,1,23,36,28
80,37,5,23,75,28,69,40,42,39,29,36
85,82,11,1,25,23,57,16,18,36,47,16
75,90,52,46,54,28,45,36,41,10,25,38
35,43,33,3,30,21,13,11,8,5,29,45
25,35,79,43,73,26,55,27,32,8,38,21
66,70,47,16,53,35,67,49,15,23,35,13
86,70,2,31,69,16,71,39,4,31,46,11
78,52,11,61,42,35,78,37,36,3,14,38
83,87,66,51,35,3,42,36,48,22,47,22
87,37,13,2,59,24,38,24,42,45,37,31
73,24,57,31,36,27,11,45,7,31,32,22
96,87,36,52,77,24,49,3,15,15,8,48
76,71,45,34,12,29,72,20,20,45,6,43
88,42,20,40,47,35,25,4,22,9,4,44
91,32,2,26,44,33,13,12,7,49,14,41
31,51,19,21,43,39,28,14,10,37,22,11
51,87,72,27,75,13,25,29,1,44,49,22
50,69,36,60,17,5,40,39,34,10,24,35
25,67,53,24,73,24,64,35,1,46,40,27
79,25,59,7,25,22,15,13,5,31,27,19
90,31,72,40,49,23,31,28,42,30,17,28
54,35,67,45,41,2,77,7,7,2,20,21
21,47,41,51,25,14,15,47,34,40,12,17
61,79,10,38,52,29,45,37,21,5,31,34
20,48,8,25,48,5,56,13,14,46,40,26
30,57,61,27,63,20,26,47,42,29,7,23
37,32,19,27,51,5,39,14,10,46,22,35
71,72,71,1,10,6,75,18,40,1,30,13
43,56,45,7,64,38,27,39,45,20,44,45
21,39,37,69,12,22,78,39,4,4,28,25
54,92,45,12,79,9,78,5,46,26,42,11
76,42,43,47,35,15,75,23,15,18,29,20
26,39,40,18,48,2,63,16,17,23,8,21
79,94,37,55,17,18,38,45,19,12,31,38
53,58,70,1,79,37,18,39,38,12,32,38
88,94,40,35,73,17,31,16,43,30,23,44
30,44,46,29,47,28,73,30,10,49,32,25
67,40,4,12,41,12,17,37,18,41,44,42
93,80,53,3,16,9,74,10,23,28,11,28
91,63,70,59,73,1,14,45,40,37,23,17
35,47,55,73,73,37,68,26,18,13,15,20
61,79,74,31,60,30,70,11,3,15,34,49
75,81,20,63,74,15,75,11,27,3,26,23
48,21,51,29,75,34,52,15,16,49,9,34
25,87,6,59,72,39,11,1,14,46,18,34
49,82,46,12,20,17,10,10,28,8,42,30
74,36,73,62,32,31,41,31,1,16,6,41
36,46,35,11,12,23,52,4,38,8,39,44
92,51,10,70,77,25,71,44,23,38,32,19
54,42,24,69,51,39,79,19,33,41,49,15
75,26,59,9,32,20,18,46,36,28,39,20
48,26,32,67,66,16,59,43,48,41,36,34
61,90,19,71,23,16,59,40,47,33,31,10
76,86,66,41,58,11,12,33,27,48,23,42
93,90,41,56,62,29,55,10,47,25,21,36
44,27,16,11,45,34,60,19,45,11,5,33
51,34,75,60,11,3,67,9,42,44,41,22
83,63,25,17,70,25,61,48,29,10,11,28
83,52,72,6,61,35,30,12,9,19,7,30
52,74,40,68,18,33,50,41,14,22,8,15
41,89,73,54,79,32,53,39,34,5,9,34
91,20,27,64,63,32,30,16,4,31,48,11
60,81,37,10,78,39,45,1,43,6,45,43
42,93,21,63,25,13,41,41,2,43,35,14
87,65,73,36,25,1,35,17,35,31,45,11
48,94,49,11,26,24,12,4,22,48,16,12
94,42,58,34,74,37,78,1,39,29,7,10
83,36,76,48,73,25,28,21,42,39,41,49
28,42,69,49,12,5,35,37,16,11,39,37
94,67,9,79,22,1,53,42,19,23,24,18
81,66,16,25,43,2,49,49,40,2,14,35
64,39,23,77,66,29,26,17,24,30,6,33
59,37,60,10,65,20,50,41,47,30,18,22
25,30,4,10,22,10,26,7,24,37,44,45
43,54,63,3,51,26,54,43,19,16,23,33
24,77,28,10,34,10,49,3,2,10,22,39
93,53,72,73,55,37,41,17,15,45,39,13
75,28,76,59,38,34,62,13,46,7,33,48
48,46,7,79,62,1,57,35,7,29,17,16
85,20,34,6,54,23,64,43,36,40,21,27
89,45,28,30,50,20,18,25,32,32,15,34
82,48,18,26,61,32,22,28,30,10,13,37
96,32,53,44,60,38,52,42,19,22,11,18
95,73,63,36,32,34,60,32,43,27,11,10
86,48,76,8,64,27,75,37,40,23,30,44
72,72,70,71,75,17,44,48,2,49,39,24
34,69,15,59,47,35,18,10,34,7,33,40
45,57,60,23,60,3,48,26,18,14,2,44
78,52,46,53,71,27,31,27,15,28,31,32
69,47,31,29,70,14,40,3,25,28,31,45
58,67,71,76,26,19,42,14,16,31,44,49
23,35,51,34,54,18,67,12,22,7,4,38
36,24,26,69,63,39,74,27,46,48,41,16
76,64,43,20,19,24,16,21,28,32,45,36
29,50,30,65,39,2,70,44,35,22,21,36
88,50,62,57,40,28,42,21,33,33,24,30
55,57,21,44,19,36,33,18,44,30,25,32
75,25,7,62,57,31,18,22,29,19,12,27
92,23,12,47,33,25,75,18,20,20,37,14
43,82,59,49,12,32,17,36,29,8,49,44
46,50,14,49,35,19,20,31,17,11,28,49
68,42,57,38,25,11,64,2,32,9,23,22
71,94,54,40,44,29,76,48,29,47,15,44
46,90,67,2,57,28,79,43,49,13,5,38
71,44,24,46,21,18,45,46,23,1,46,21
27,23,12,35,28,17,15,18,18,3,36,23
51,53,63,4,52,4,63,5,7,9,43,17
78,64,73,65,57,15,19,11,24,45,39,24
33,40,68,48,17,18,61,18,27,40,12,22
28,88,66,59,29,2,33,43,47,32,39,15
36,73,60,22,43,38,67,5,46,30,20,39
37,37,12,51,27,21,12,43,48,17,36,37
88,53,70,69,53,8,23,47,26,24,5,36
38,89,79,70,45,21,76,32,37,47,2,25
91,20,54,49,40,12,27,7,9,41,38,30
24,81,33,41,66,24,77,20,18,35,47,25
91,65,37,32,56,3,33,45,19,43,20,14
